Date,inflation  ,unemployment ,cash rate ,fuel
Dec-93,1.8,10.9,4.75,665.28
Mar-94,1.5,10.46666667,4.75,636.98
Jun-94,1.8,9.9,4.75,667.55
Sep-94,2,9.466666667,5.5,671.7
Dec-94,2.6,9.033333333,7.5,655.85
Mar-95,3.7,8.766666667,7.5,668.87
Jun-95,4.5,8.4,7.5,680.57
Sep-95,5.1,8.366666667,7.5,705.85
Dec-95,5.1,8.4,7.5,695.85
Mar-96,3.8,8.4,7.5,692.26
Jun-96,3.1,8.433333333,7.5,713.58
Sep-96,2.1,8.633333333,7,698.87
Dec-96,1.5,8.633333333,6,717.55
Mar-97,1.4,8.633333333,6,728.87
Jun-97,0.3,8.466666667,5.5,716.98
Sep-97,-0.4,8.4,5,711.13
Dec-97,-0.3,7.966666667,5,719.43
Mar-98,-0.1,7.866666667,5,688.11
Jun-98,0.7,7.733333333,5,694.15
Sep-98,1.4,7.8,5,679.06
Dec-98,1.5,7.366666667,4.75,668.68
Mar-99,1.2,7.066666667,4.75,650.94
Jun-99,1,6.9,4.75,685.28
Sep-99,1.8,6.866666667,4.75,745.66
Dec-99,1.9,6.633333333,5,750.57
Mar-00,2.8,6.666666667,5.5,808.87
Jun-00,3.1,6.3,6,834.91
Sep-00,6.1,6.033333333,6.25,921.89
Dec-00,5.8,6.166666667,5.5,934.15
Mar-01,6,6.366666667,5.5,900.19
Jun-01,6.1,6.866666667,5.5,928.68
Sep-01,2.5,6.866666667,4.75,851.7
Dec-01,3.1,7,4.75,820.75
Mar-02,3,6.6,4.25,820.19
Jun-02,2.8,6.4,4.75,881.7
Sep-02,3.2,6.266666667,4.75,871.13
Dec-02,2.9,6.166666667,4.75,886.98
Mar-03,3.3,6.066666667,4.75,963.02
Jun-03,2.6,6.066666667,4.75,870.75
Sep-03,2.6,5.9,4.75,896.79
Dec-03,2.4,5.733333333,5.25,888.68
Mar-04,2,5.5,5.25,918.68
Jun-04,2.5,5.433333333,5.25,972.26
Sep-04,2.3,5.5,5.25,"1,004.72"
Dec-04,2.5,5.133333333,5.25,"1,030.00"
Mar-05,2.4,5.133333333,5.5,"1,002.08"
Jun-05,2.5,5.066666667,5.5,"1,073.77"
Sep-05,3.1,4.966666667,5.5,"1,198.30"
Dec-05,2.8,5,5.5,"1,186.98"
Mar-06,2.9,5.066666667,5.5,"1,203.96"
Jun-06,4,4.866666667,5.75,"1,339.06"
Sep-06,4,4.7,6,"1,323.40"
Dec-06,3.3,4.533333333,6.25,"1,159.81"
Mar-07,2.5,4.566666667,6.25,"1,176.04"
Jun-07,2.1,4.333333333,6.25,"1,283.02"
Sep-07,1.8,4.266666667,6.5,"1,235.28"
Dec-07,2.9,4.333333333,6.75,"1,325.47"
Mar-08,4.3,4.1,7.25,"1,397.74"
Jun-08,4.4,4.266666667,7.25,"1,518.49"
Sep-08,5,4.2,7,"1,548.68"
Dec-08,3.7,4.466666667,4.25,"1,267.36"
Mar-09,2.4,5.3,3.25,"1,164.34"
Jun-09,1.4,5.733333333,3,"1,206.60"
Sep-09,1.2,5.7,3,"1,254.34"
Dec-09,2.1,5.566666667,3.75,"1,219.62"
